1.10000,-2.70109
1.10010,-2.70000
1.10020,-2.69891
1.10030,-2.69782
1.10040,-2.69673
1.10050,-2.69564
1.10060,-2.69455
1.10070,-2.69346
1.10080,-2.69237
1.10090,-2.69128
1.10100,-2.69019
1.10110,-2.68910
1.10120,-2.68801
1.10130,-2.68692
1.10140,-2.68583
1.10150,-2.68474
1.10160,-2.68365
1.10170,-2.68256
1.10180,-2.68147
1.10190,-2.68038
1.10200,-2.67929
1.10210,-2.67820
1.10220,-2.67711
1.10230,-2.67601
1.10240,-2.67492
1.10250,-2.67383
1.10260,-2.67274
1.10270,-2.67165
1.10280,-2.67056
1.10290,-2.66947
1.10300,-2.66838
1.10310,-2.66729
1.10320,-2.66620
1.10330,-2.66511
1.10340,-2.66402
1.10350,-2.66293
1.10360,-2.66184
1.10370,-2.66075
1.10380,-2.65966
1.10390,-2.65857
1.10400,-2.65748
1.10410,-2.65639
1.10420,-2.65530
1.10430,-2.65421
1.10440,-2.65312
1.10450,-2.65203
1.10460,-2.65094
1.10470,-2.64985
1.10480,-2.64876
1.10490,-2.64767
1.10500,-2.64658
1.10510,-2.64549
1.10520,-2.64440
1.10530,-2.64331
1.10540,-2.64222
1.10550,-2.64113
1.10560,-2.64004
1.10570,-2.63894
1.10580,-2.63785
1.10590,-2.63676
1.10600,-2.63567
1.10610,-2.63458
1.10620,-2.63349
1.10630,-2.63240
1.10640,-2.63131
1.10650,-2.63022
1.10660,-2.62913
1.10670,-2.62804
1.10680,-2.62695
1.10690,-2.62586
1.10700,-2.62477
1.10710,-2.62368
1.10720,-2.62259
1.10730,-2.62150
1.10740,-2.62041
1.10750,-2.61932
1.10760,-2.61823
1.10770,-2.61714
1.10780,-2.61605
1.10790,-2.61496
1.10800,-2.61387
1.10810,-2.61278
1.10820,-2.61169
1.10830,-2.61060
1.10840,-2.60951
1.10850,-2.60842
1.10860,-2.60733
1.10870,-2.60623
1.10880,-2.60514
1.10890,-2.60405
1.10900,-2.60296
1.10910,-2.60187
1.10920,-2.60078
1.10930,-2.59969
1.10940,-2.59860
1.10950,-2.59751
1.10960,-2.59642
1.10970,-2.59533
1.10980,-2.59424
1.10990,-2.59315
1.11000,-2.59206
1.11010,-2.59097
1.11020,-2.58988
1.11030,-2.58879
1.11040,-2.58770
1.11050,-2.58661
1.11060,-2.58552
1.11070,-2.58443
1.11080,-2.58334
1.11090,-2.58225
1.11100,-2.58116
1.11110,-2.58007
1.11120,-2.57898
1.11130,-2.57789
1.11140,-2.57680
1.11150,-2.57571
1.11160,-2.57462
1.11170,-2.57353
1.11180,-2.57243
1.11190,-2.57135
1.11200,-2.57025
1.11210,-2.56916
1.11220,-2.56807
1.11230,-2.56698
1.11240,-2.56589
1.11250,-2.56480
1.11260,-2.56371
1.11270,-2.56262
1.11280,-2.56153
1.11290,-2.56044
1.11300,-2.55935
1.11310,-2.55826
1.11320,-2.55717
1.11330,-2.55608
1.11340,-2.55499
1.11350,-2.55390
1.11360,-2.55281
1.11370,-2.55172
1.11380,-2.55063
1.11390,-2.54954
1.11400,-2.54845
1.11410,-2.54736
1.11420,-2.54627
1.11430,-2.54518
1.11440,-2.54409
1.11450,-2.54300
1.11460,-2.54191
1.11470,-2.54082
1.11480,-2.53973
1.11490,-2.53864
1.11500,-2.53755
1.11510,-2.53645
1.11520,-2.53536
1.11530,-2.53427
1.11540,-2.53318
1.11550,-2.53209
1.11560,-2.53100
1.11570,-2.52991
1.11580,-2.52882
1.11590,-2.52773
1.11600,-2.52664
1.11610,-2.52555
1.11620,-2.52446
1.11630,-2.52337
1.11640,-2.52228
1.11650,-2.52119
1.11660,-2.52010
1.11670,-2.51901
1.11680,-2.51792
1.11690,-2.51683
1.11700,-2.51574
1.11710,-2.51465
1.11720,-2.51356
1.11730,-2.51247
1.11740,-2.51138
1.11750,-2.51029
1.11760,-2.50920
1.11770,-2.50811
1.11780,-2.50702
1.11790,-2.50593
1.11800,-2.50484
1.11810,-2.50374
1.11820,-2.50265
1.11830,-2.50156
1.11840,-2.50047
1.11850,-2.49938
1.11860,-2.49829
1.11870,-2.49720
1.11880,-2.49611
1.11890,-2.49502
1.11900,-2.49393
1.11910,-2.49284
1.11920,-2.49175
1.11930,-2.49066
1.11940,-2.48957
1.11950,-2.48848
1.11960,-2.48739
1.11970,-2.48630
1.11980,-2.48521
1.11990,-2.48412
1.12000,-2.48303
1.12010,-2.48194
1.12020,-2.48085
1.12030,-2.47976
1.12040,-2.47867
1.12050,-2.47758
1.12060,-2.47649
1.12070,-2.47540
1.12080,-2.47431
1.12090,-2.47322
1.12100,-2.47213
1.12110,-2.47104
1.12120,-2.46995
1.12130,-2.46886
1.12140,-2.46776
1.12150,-2.46667
1.12160,-2.46558
1.12170,-2.46449
1.12180,-2.46340
1.12190,-2.46231
1.12200,-2.46122
1.12210,-2.46013
1.12220,-2.45904
1.12230,-2.45795
1.12240,-2.45686
1.12250,-2.45577
1.12260,-2.45468
1.12270,-2.45359
1.12280,-2.45250
1.12290,-2.45141
1.12300,-2.45032
1.12310,-2.44923
1.12320,-2.44814
1.12330,-2.44705
1.12340,-2.44596
1.12350,-2.44487
1.12360,-2.44378
1.12370,-2.44269
1.12380,-2.44160
1.12390,-2.44051
1.12400,-2.43942
1.12410,-2.43833
1.12420,-2.43724
1.12430,-2.43615
1.12440,-2.43506
1.12450,-2.43396
1.12460,-2.43287
1.12470,-2.43178
1.12480,-2.43069
1.12490,-2.42960
1.12500,-2.42851
1.12510,-2.42742
1.12520,-2.42633
1.12530,-2.42524
