Mg(ClO3)2.6H2O 80K NIR reflectance spectra from 0.35-2.5�m		
Data from Hanley et al. (2014)		
		
Wavelength (um)	% Reflectance	normalized
0.52	0.24672896	0.990018699
0.521	0.246801555	0.990309992
0.522	0.246907013	0.99073315
0.523	0.247025802	0.9912098
0.524	0.247122417	0.991597475
0.525	0.247193579	0.991883018
0.526	0.247276233	0.992214672
0.527	0.247381256	0.992636086
0.528	0.247454655	0.992930605
0.529	0.247471427	0.992997902
0.53	0.247563953	0.99336917
0.531	0.247670622	0.993797188
0.532	0.247737384	0.994065075
0.533	0.24773175	0.994042469
0.534	0.247800893	0.994319912
0.535	0.247831007	0.994440744
0.536	0.247758095	0.994148182
0.537	0.247695335	0.993896349
0.538	0.247644458	0.993692205
0.539	0.247592012	0.993481759
0.54	0.247522694	0.993203618
0.541	0.24747995	0.993032103
0.542	0.247405092	0.992731727
0.543	0.247305571	0.992332395
0.544	0.247272831	0.99220102
0.545	0.247248034	0.992101522
0.546	0.247228178	0.992021847
0.547	0.247233614	0.992043662
0.548	0.247322447	0.992400111
0.549	0.247419901	0.992791151
0.55	0.247495198	0.993093287
0.551	0.247555602	0.99333566
0.552	0.247653502	0.993728494
0.553	0.247774845	0.99421539
0.554	0.247898375	0.994711064
0.555	0.248015221	0.99517992
0.556	0.24808308	0.995452208
0.557	0.248128346	0.995633842
0.558	0.248197064	0.995909579
0.559	0.248260115	0.996162575
0.56	0.248306334	0.996348031
0.561	0.248317569	0.996393112
0.562	0.248266394	0.996187769
0.563	0.248213917	0.995977201
0.564	0.248193226	0.995894176
0.565	0.248213121	0.995974008
0.566	0.248226991	0.996029663
0.567	0.248287468	0.99627233
0.568	0.248419523	0.996802209
0.569	0.248615291	0.997587743
0.57	0.248732528	0.998058167
0.571	0.248876216	0.998634725
0.572	0.249090436	0.999494298
0.573	0.249209682	0.999972783
0.574	0.249216465	1
0.575	0.249144014	0.999709286
0.576	0.24904461	0.999310418
0.577	0.248866162	0.998594385
0.578	0.248774396	0.998226166
0.579	0.248735513	0.998070145
0.58	0.248452791	0.996935701
0.581	0.248151321	0.995726029
0.582	0.247853155	0.994529617
0.583	0.24753725	0.993262023
0.584	0.247198722	0.991903653
0.585	0.246995231	0.99108713
0.586	0.246833722	0.990439064
0.587	0.246473945	0.988995433
0.588	0.246289703	0.988256145
0.589	0.246136151	0.987640007
0.59	0.245878823	0.986607458
0.591	0.245537413	0.985237527
0.592	0.245482656	0.985017808
0.593	0.245534177	0.985224542
0.594	0.245370353	0.984567186
0.595	0.245359088	0.984521983
0.596	0.245491922	0.985054991
0.597	0.245635291	0.98563027
0.598	0.245540145	0.985248488
0.599	0.245561281	0.985333299
0.6	0.24560807	0.985521044
0.601	0.245515729	0.985150515
0.602	0.245252803	0.984095506
0.603	0.24521386	0.983939245
0.604	0.245315798	0.984348278
0.605	0.245153375	0.983696545
0.606	0.244937006	0.982828345
0.607	0.244868483	0.982553393
0.608	0.244951544	0.982886681
0.609	0.244751936	0.98208574
0.61	0.24466848	0.981750866
0.611	0.244751203	0.982082798
0.612	0.244874185	0.982576271
0.613	0.244736472	0.98202369
0.614	0.244630287	0.981597614
0.615	0.244680552	0.981799305
0.616	0.244754431	0.982095752
0.617	0.244651709	0.981683569
0.618	0.244536129	0.981219798
0.619	0.244582151	0.981404465
0.62	0.244676776	0.981784154
0.621	0.244606462	0.981502014
0.622	0.244452736	0.980885176
0.623	0.244483408	0.981008251
0.624	0.244568973	0.981351585
0.625	0.244528093	0.981187551
0.626	0.244343336	0.980446199
0.627	0.244330004	0.980392704
0.628	0.244412485	0.980723668
0.629	0.244430817	0.980797224
0.63	0.24425741	0.980101414
0.631	0.244175388	0.979772295
0.632	0.244223292	0.979964514
0.633	0.244300222	0.980273202
0.634	0.244178851	0.979786193
0.635	0.244105967	0.979493738
0.636	0.244114951	0.97952979
0.637	0.244152747	0.979681447
0.638	0.244055628	0.979291751
0.639	0.243996605	0.979054917
0.64	0.244023198	0.979161625
0.641	0.244089736	0.97942861
0.642	0.244073777	0.979364573
0.643	0.24401139	0.979114243
0.644	0.243969684	0.978946892
0.645	0.244037263	0.979218061
0.646	0.244044621	0.979247584
0.647	0.243974181	0.97896494
0.648	0.243886788	0.978614267
0.649	0.243938413	0.978821415
0.65	0.243979927	0.978987996
0.651	0.243956833	0.97889533
0.652	0.243921199	0.978752346
0.653	0.24388908	0.978623465
0.654	0.243882098	0.978595449
0.655	0.243901865	0.978674764
0.656	0.243906157	0.978691987
0.657	0.243865776	0.978529955
0.658	0.243831797	0.978393612
0.659	0.243876226	0.978571886
0.66	0.243893377	0.978640704
0.661	0.243864245	0.978523811
0.662	0.243803256	0.978279089
0.663	0.243754963	0.97808531
0.664	0.243826978	0.978374273
0.665	0.243873565	0.97856121
0.666	0.243767955	0.978137439
0.667	0.243737053	0.978013445
0.668	0.243761296	0.97811072
0.669	0.243810229	0.978307069
0.67	0.243845053	0.978446803
0.671	0.243808583	0.978300464
0.672	0.243780017	0.978185842
0.673	0.243808075	0.978298426
0.674	0.243838525	0.97842061
0.675	0.243860908	0.978510422
0.676	0.243863153	0.978519429
0.677	0.243842691	0.978437323
0.678	0.24383371	0.978401287
0.679	0.243826432	0.978372083
0.68	0.243822513	0.97835636
0.681	0.243836794	0.978413662
0.682	0.243822951	0.978358115
0.683	0.243827833	0.978377705
0.684	0.243879897	0.978586616
0.685	0.243912178	0.978716147
0.686	0.243860021	0.978506863
0.687	0.24382458	0.978364652
0.688	0.243949348	0.978865295
0.689	0.243994139	0.97904502
0.69	0.243969325	0.978945455
0.691	0.243920438	0.978749291
0.692	0.243902305	0.978676532
0.693	0.243932803	0.978798907
0.694	0.243978412	0.978981914
0.695	0.243998618	0.979062994
0.696	0.243988503	0.979022407
0.697	0.243969219	0.978945027
0.698	0.243954533	0.978886098
0.699	0.243952165	0.978876596
0.7	0.243971729	0.978955098
0.701	0.243987364	0.979017837
0.702	0.243983454	0.979002147
0.703	0.243967287	0.978937275
0.704	0.243991827	0.979035746
0.705	0.244030258	0.979189952
0.706	0.244036367	0.979214464
0.707	0.244007416	0.979098298
0.708	0.243983442	0.979002097
0.709	0.243984301	0.979005546
0.71	0.244005849	0.979092007
0.711	0.24398218	0.978997036
0.712	0.243943816	0.978843098
0.713	0.243924306	0.978764811
0.714	0.243930953	0.978791483
0.715	0.243918526	0.978741617
0.716	0.243889641	0.978625713
0.717	0.243861485	0.978512737
0.718	0.243817971	0.978338133
0.719	0.243782349	0.978195196
0.72	0.243764508	0.978123611
0.721	0.243757809	0.978096731
0.722	0.243737512	0.978015284
0.723	0.243694681	0.977843423
0.724	0.243636841	0.977611336
0.725	0.243602855	0.977474963
0.726	0.243546906	0.977250465
0.727	0.243485414	0.977003723
0.728	0.243454632	0.976880207
0.729	0.243438038	0.976813625
0.73	0.243460734	0.976904693
0.731	0.243497468	0.977052092
0.732	0.243472176	0.976950606
0.733	0.24342723	0.976770256
0.734	0.243390788	0.976624031
0.735	0.243359147	0.976497066
0.736	0.243253072	0.976071433
0.737	0.24313875	0.975612706
0.738	0.243013207	0.975108958
0.739	0.242852446	0.974463891
0.74	0.242701638	0.973858762
0.741	0.242508249	0.973082776
0.742	0.242267839	0.972118112
0.743	0.242033965	0.971179674
0.744	0.241797554	0.970231056
0.745	0.241597148	0.969426911
0.746	0.241470127	0.968917229
0.747	0.241434597	0.968774666
0.748	0.241437476	0.968786218
0.749	0.241474045	0.968932952
0.75	0.241557642	0.969268393
0.751	0.24168221	0.96976823
0.752	0.241778564	0.970154858
0.753	0.241836864	0.970388793
0.754	0.241909234	0.970679181
0.755	0.241956264	0.970867894
0.756	0.242009611	0.971081952
0.757	0.242076573	0.971350641
0.758	0.242075846	0.971347725
0.759	0.242067519	0.971314311
0.76	0.24206659	0.971310583
0.761	0.242071177	0.971328991
0.762	0.242085724	0.971387363
0.763	0.242073736	0.971339257
0.764	0.242033288	0.971176959
0.765	0.241994882	0.971022849
0.766	0.241959015	0.970878932
0.767	0.241943601	0.970817083
0.768	0.241939871	0.970802116
0.769	0.241881647	0.970568487
0.77	0.241850799	0.970444708
0.771	0.241833765	0.970376356
0.772	0.241794011	0.97021684
0.773	0.241737132	0.969988609
0.774	0.241707953	0.969871527
0.775	0.241709271	0.969876815
0.776	0.241711823	0.969887056
0.777	0.24171264	0.969890333
0.778	0.241686867	0.969786916
0.779	0.241647576	0.969629259
0.78	0.2416659	0.969702787
0.781	0.241699328	0.969836919
0.782	0.241714225	0.969896695
0.783	0.241696027	0.969823672
0.784	0.241678693	0.969754117
0.785	0.241689109	0.969795912
0.786	0.24170598	0.969863608
0.787	0.241694838	0.9698189
0.788	0.241725409	0.96994157
0.789	0.241761467	0.970086257
0.79	0.241780543	0.970162798
0.791	0.2417878	0.970191919
0.792	0.241826789	0.970348364
0.793	0.241887499	0.970591968
0.794	0.241943858	0.970818111
0.795	0.241956497	0.970868829
0.796	0.242007939	0.971075244
0.797	0.242066427	0.97130993
0.798	0.242088484	0.971398434
0.799	0.242178372	0.971759119
0.8	0.242248861	0.972041961
0.801	0.242281227	0.97217183
0.802	0.242316693	0.972314142
0.803	0.242403181	0.972661182
0.804	0.242531136	0.973174612
0.805	0.242657982	0.973683588
0.806	0.242712211	0.973901188
0.807	0.242757199	0.974081707
0.808	0.242818483	0.974327613
0.809	0.242902638	0.974665292
0.81	0.242994067	0.975032157
0.811	0.243066329	0.975322112
0.812	0.243138991	0.975613675
0.813	0.243235882	0.976002457
0.814	0.243288773	0.976214688
0.815	0.243352124	0.976468888
