NaClO4 80K NIR reflectance spectra from 0.35-2.5�m		
This is the data used to create Figure 1		
		
Wavelength (um	% Reflectance	normalized
0.52	0.297434765	0.859620859
0.521	0.297520287	0.859868027
0.522	0.297583905	0.860051892
0.523	0.297655667	0.860259291
0.524	0.297735088	0.860488827
0.525	0.297790475	0.860648902
0.526	0.297755567	0.860548013
0.527	0.29776969	0.86058883
0.528	0.297818348	0.860729459
0.529	0.297856196	0.860838844
0.53	0.297878115	0.860902192
0.531	0.297927605	0.861045223
0.532	0.297957093	0.861130446
0.533	0.297874525	0.860891815
0.534	0.297889321	0.860934578
0.535	0.297869102	0.860876142
0.536	0.297739407	0.860501309
0.537	0.297648989	0.860239991
0.538	0.2975484	0.859949278
0.539	0.297423539	0.859588415
0.54	0.297275996	0.859161999
0.541	0.297139035	0.858766166
0.542	0.296979692	0.858305645
0.543	0.296808933	0.857812132
0.544	0.296693804	0.857479397
0.545	0.296576279	0.857139736
0.546	0.296487511	0.856883186
0.547	0.296465012	0.85681816
0.548	0.296497972	0.856913419
0.549	0.296559879	0.857092336
0.55	0.296612881	0.85724552
0.551	0.29662218	0.857272394
0.552	0.296675067	0.857425244
0.553	0.296783328	0.857738131
0.554	0.296922098	0.858139193
0.555	0.297018778	0.858418609
0.556	0.29708218	0.858601847
0.557	0.297137657	0.858762184
0.558	0.297209015	0.858968415
0.559	0.297250832	0.859089272
0.56	0.29725077	0.859089093
0.561	0.29719731	0.858934586
0.562	0.29707664	0.858585837
0.563	0.296949533	0.858218483
0.564	0.29686425	0.857972004
0.565	0.29684117	0.857905299
0.566	0.296821244	0.857847712
0.567	0.296864793	0.857973575
0.568	0.297005671	0.858380728
0.569	0.297240052	0.859058116
0.57	0.297361821	0.859410042
0.571	0.297502344	0.859816169
0.572	0.297714906	0.860430498
0.573	0.297772352	0.860596523
0.574	0.297687377	0.860350936
0.575	0.297511928	0.859843869
0.576	0.297310135	0.859260665
0.577	0.297017102	0.858413765
0.578	0.296797574	0.857779302
0.579	0.296622943	0.857274598
0.58	0.296208156	0.856075818
0.581	0.295792462	0.854874412
0.582	0.295390235	0.853711931
0.583	0.294978275	0.85252132
0.584	0.294595262	0.851414366
0.585	0.294351934	0.850711121
0.586	0.29412577	0.850057482
0.587	0.293669901	0.848739966
0.588	0.293452312	0.848111109
0.589	0.29325791	0.847549265
0.59	0.292901838	0.846520175
0.591	0.292441983	0.845191142
0.592	0.292316821	0.844829408
0.593	0.292313608	0.844820123
0.594	0.292052892	0.844066625
0.595	0.29197505	0.843841651
0.596	0.292084274	0.844157322
0.597	0.292231383	0.844582484
0.598	0.292122842	0.844268787
0.599	0.292165772	0.844392859
0.6	0.292221569	0.844554119
0.601	0.292079289	0.844142914
0.602	0.291753471	0.843201262
0.603	0.291683522	0.842999103
0.604	0.291771164	0.843252397
0.605	0.291557239	0.84263413
0.606	0.29129553	0.841877759
0.607	0.291205612	0.841617888
0.608	0.291283165	0.841842024
0.609	0.291035568	0.841126438
0.61	0.290928758	0.840817748
0.611	0.291014322	0.841065036
0.612	0.291137065	0.841419777
0.613	0.290953158	0.840888266
0.614	0.290798943	0.840442566
0.615	0.290820394	0.840504561
0.616	0.290869551	0.84064663
0.617	0.290714594	0.840198788
0.618	0.290544908	0.839708376
0.619	0.29056155	0.839756472
0.62	0.29063181	0.839959534
0.621	0.290509162	0.839605065
0.622	0.290295537	0.838987663
0.623	0.290309467	0.839027925
0.624	0.290364342	0.839186518
0.625	0.290275323	0.838929245
0.626	0.290034721	0.838233876
0.627	0.289974818	0.83806075
0.628	0.29004112	0.83825237
0.629	0.290039176	0.838246751
0.63	0.289802809	0.837563623
0.631	0.289684693	0.837222254
0.632	0.289720434	0.83732555
0.633	0.289784595	0.837510982
0.634	0.289608822	0.837002978
0.635	0.289500066	0.836688661
0.636	0.289493444	0.836669523
0.637	0.289511504	0.836721719
0.638	0.289324083	0.836180051
0.639	0.289212976	0.835858937
0.64	0.289228421	0.835903577
0.641	0.28926376	0.836005709
0.642	0.289207604	0.835843412
0.643	0.289118774	0.835586683
0.644	0.289067076	0.835437271
0.645	0.28910611	0.835550084
0.646	0.28907631	0.835463959
0.647	0.28896367	0.835138414
0.648	0.288834659	0.834765558
0.649	0.288865112	0.834853571
0.65	0.288891815	0.834930745
0.651	0.288845084	0.834795687
0.652	0.288764331	0.834562303
0.653	0.288692623	0.834355059
0.654	0.288656824	0.834251593
0.655	0.288653229	0.834241206
0.656	0.288619412	0.83414347
0.657	0.288540826	0.833916346
0.658	0.288478981	0.833737608
0.659	0.2885095	0.833825811
0.66	0.288496066	0.833786986
0.661	0.288438632	0.833620996
0.662	0.288351523	0.833369238
0.663	0.28824417	0.833058977
0.664	0.288304534	0.833233436
0.665	0.288363856	0.833404883
0.666	0.288250397	0.833076975
0.667	0.288183565	0.832883822
0.668	0.28817737	0.832865917
0.669	0.288206162	0.832949131
0.67	0.288213323	0.832969826
0.671	0.288138113	0.83275246
0.672	0.288075416	0.832571258
0.673	0.288078644	0.832580588
0.674	0.288069651	0.832554597
0.675	0.288049444	0.832496196
0.676	0.288008189	0.832376965
0.677	0.287946453	0.83219854
0.678	0.287921381	0.832126079
0.679	0.287907819	0.832086882
0.68	0.287886649	0.832025701
0.681	0.287851539	0.831924227
0.682	0.287804558	0.831788448
0.683	0.287787437	0.831738967
0.684	0.28781606	0.831821688
0.685	0.287826104	0.831850718
0.686	0.287739645	0.831600842
0.687	0.287670109	0.831399875
0.688	0.287781156	0.831720814
0.689	0.287807928	0.831798188
0.69	0.287744277	0.831614227
0.691	0.287641096	0.831316023
0.692	0.287586184	0.83115732
0.693	0.287596054	0.831185847
0.694	0.287621465	0.831259286
0.695	0.287610155	0.831226601
0.696	0.287578223	0.831134312
0.697	0.287526037	0.830983488
0.698	0.287474892	0.830835675
0.699	0.287456242	0.830781773
0.7	0.287458191	0.830787406
0.701	0.287446569	0.830753818
0.702	0.287406434	0.830637822
0.703	0.287357187	0.830495494
0.704	0.287355645	0.830491036
0.705	0.287371168	0.8305359
0.706	0.287351799	0.830479921
0.707	0.287293258	0.83031073
0.708	0.287253867	0.830196888
0.709	0.287254885	0.83019983
0.71	0.287277625	0.830265549
0.711	0.287233233	0.830137253
0.712	0.287180843	0.82998584
0.713	0.287171476	0.829958767
0.714	0.287189463	0.830010753
0.715	0.287180698	0.829985419
0.716	0.287159142	0.829923122
0.717	0.287154442	0.829909537
0.718	0.287121288	0.829813717
0.719	0.287094684	0.829736828
0.72	0.287091039	0.829726296
0.721	0.287102478	0.829759354
0.722	0.287095731	0.829739857
0.723	0.287065961	0.829653818
0.724	0.287026711	0.829540378
0.725	0.287020334	0.829521949
0.726	0.287008909	0.82948893
0.727	0.286988513	0.829429984
0.728	0.286968294	0.829371549
0.729	0.286941775	0.829294905
0.73	0.286950463	0.829320014
0.731	0.286975303	0.829391804
0.732	0.286935513	0.829276807
0.733	0.286893075	0.829154155
0.734	0.286870488	0.829088877
0.735	0.28686249	0.829065762
0.736	0.286810982	0.828916898
0.737	0.286788881	0.828853023
0.738	0.28678212	0.828833485
0.739	0.286751392	0.828744675
0.74	0.286759056	0.828766825
0.741	0.286745884	0.828728758
0.742	0.286705312	0.828611498
0.743	0.286692972	0.828575836
0.744	0.286644161	0.828434765
0.745	0.286596377	0.828296664
0.746	0.286583401	0.828259162
0.747	0.286580975	0.828252151
0.748	0.28656112	0.828194766
0.749	0.286526382	0.828094371
0.75	0.286496195	0.828007126
0.751	0.286497531	0.828010988
0.752	0.286465552	0.827918565
0.753	0.286403257	0.827738524
0.754	0.286383892	0.827682559
0.755	0.286341399	0.827559748
0.756	0.286314999	0.827483449
0.757	0.286320716	0.827499973
0.758	0.286273905	0.827364683
0.759	0.286232567	0.827245211
0.76	0.286207826	0.827173708
0.761	0.286193801	0.827133174
0.762	0.28619332	0.827131782
0.763	0.286172653	0.827072054
0.764	0.286129168	0.826946377
0.765	0.286089286	0.826831112
0.766	0.286051346	0.826721462
0.767	0.286032313	0.826666455
0.768	0.286025486	0.826646723
0.769	0.285971539	0.82649081
0.77	0.285952983	0.826437181
0.771	0.285947824	0.82642227
