MgCl2.2H2O 80K NIR reflectance spectra from 0.35-2.5um		
Data from Hanley et al. (2014)		
		
Wavelength (um)	% Reflectance	normalized
0.52	0.314968324	0.999975017
0.521	0.314911922	0.999795951
0.522	0.314900917	0.999761011
0.523	0.314935776	0.999871683
0.524	0.314949956	0.999916702
0.525	0.314914893	0.999805383
0.526	0.314854696	0.999614266
0.527	0.314849678	0.999598337
0.528	0.314832336	0.999543277
0.529	0.314754297	0.999295514
0.53	0.314772571	0.999353534
0.531	0.314806472	0.999461164
0.532	0.314792855	0.999417931
0.533	0.31469934	0.999121036
0.534	0.31469155	0.999096303
0.535	0.3146331	0.998910735
0.536	0.314463435	0.998372076
0.537	0.31437575	0.998093688
0.538	0.314242607	0.997670982
0.539	0.314073571	0.997134318
0.54	0.313915547	0.996632617
0.541	0.313722153	0.99601862
0.542	0.313493942	0.995294087
0.543	0.313264278	0.99456494
0.544	0.313099691	0.9940424
0.545	0.312930418	0.993504987
0.546	0.312772945	0.993005035
0.547	0.312664675	0.992661292
0.548	0.312649722	0.992613821
0.549	0.312601366	0.992460298
0.55	0.312538207	0.992259776
0.551	0.312572982	0.992370184
0.552	0.312624035	0.992532268
0.553	0.312712362	0.992812692
0.554	0.312845757	0.993236201
0.555	0.312976574	0.993651523
0.556	0.313097553	0.994035614
0.557	0.313202296	0.994368158
0.558	0.313285357	0.994631861
0.559	0.313334523	0.994787958
0.56	0.313341819	0.99481112
0.561	0.313293433	0.994657502
0.562	0.313167773	0.994258553
0.563	0.313062768	0.993925177
0.564	0.312996529	0.993714879
0.565	0.31294494	0.993551092
0.566	0.312823056	0.993164129
0.567	0.312688769	0.992737789
0.568	0.312623829	0.992531613
0.569	0.312704868	0.992788901
0.57	0.312728904	0.992865212
0.571	0.312778169	0.993021619
0.572	0.312907262	0.993431469
0.573	0.313018003	0.993783053
0.574	0.31308508	0.993996015
0.575	0.313142567	0.994178525
0.576	0.313238852	0.994484216
0.577	0.313295629	0.994664474
0.578	0.31347514	0.995234394
0.579	0.313664119	0.995834373
0.58	0.313392832	0.994973079
0.581	0.312917969	0.993465463
0.582	0.312349126	0.991659476
0.583	0.311752653	0.989765767
0.584	0.311126587	0.987778107
0.585	0.310669829	0.98632797
0.586	0.31030533	0.985170742
0.587	0.30980279	0.983575257
0.588	0.309716769	0.983302156
0.589	0.30981033	0.983599195
0.59	0.309825404	0.983647053
0.591	0.309700868	0.983251672
0.592	0.309741538	0.983380791
0.593	0.309807563	0.983590411
0.594	0.309664388	0.983135852
0.595	0.309716939	0.983302694
0.596	0.309865038	0.983772887
0.597	0.309917803	0.983940406
0.598	0.30962575	0.983013182
0.599	0.309507853	0.982638879
0.6	0.309462601	0.982495211
0.601	0.309277058	0.98190614
0.602	0.308924837	0.980787895
0.603	0.308834634	0.980501514
0.604	0.308905464	0.98072639
0.605	0.308679907	0.980010282
0.606	0.308380971	0.979061206
0.607	0.308277832	0.978733756
0.608	0.308374684	0.979041245
0.609	0.308075871	0.978092563
0.61	0.307876647	0.977460055
0.611	0.307879028	0.977467616
0.612	0.30797151	0.97776123
0.613	0.307729788	0.976993801
0.614	0.307515018	0.976311941
0.615	0.307506156	0.976283805
0.616	0.307587816	0.976543061
0.617	0.307416321	0.975998593
0.618	0.307207863	0.975336773
0.619	0.30720981	0.975342953
0.62	0.307269124	0.975531265
0.621	0.307152058	0.975159599
0.622	0.306940522	0.974488007
0.623	0.306918092	0.974416794
0.624	0.306966665	0.974571005
0.625	0.306875083	0.974280249
0.626	0.306623696	0.973482134
0.627	0.306596484	0.97339574
0.628	0.306636492	0.973522759
0.629	0.306591104	0.97337866
