MgCl2.4H2O 80K NIR reflectance spectra from 0.35-2.5um		
This is the data used to create Figure 2		
		
Wavelength (um)	% Reflectance	normalized
0.52	0.34248991	0.999149868
0.521	0.342505764	0.999196118
0.522	0.34252807	0.999261193
0.523	0.342618989	0.99952643
0.524	0.342694227	0.999745922
0.525	0.342713746	0.999802866
0.526	0.342705549	0.999778953
0.527	0.342732137	0.99985652
0.528	0.342759398	0.999936048
0.529	0.342748177	0.999903313
0.53	0.342730579	0.999851975
0.531	0.342757559	0.999930682
0.532	0.34278132	1
0.533	0.342701453	0.999767004
0.534	0.342697723	0.999756122
0.535	0.342625735	0.999546111
0.536	0.342423167	0.998955158
0.537	0.342293626	0.998577246
0.538	0.34214855	0.998154012
0.539	0.341986501	0.997681267
0.54	0.341819284	0.997193442
0.541	0.34155601	0.99642539
0.542	0.341270754	0.99559321
0.543	0.341030898	0.994893475
0.544	0.340880644	0.994455137
0.545	0.340751637	0.994078784
0.546	0.340632274	0.993730564
0.547	0.340540814	0.993463748
0.548	0.340542217	0.993467841
0.549	0.340595074	0.993622039
0.55	0.340671518	0.99384505
0.551	0.340757533	0.994095984
0.552	0.340875719	0.994440768
0.553	0.341033301	0.994900486
0.554	0.341217858	0.995438894
0.555	0.341382182	0.995918278
0.556	0.341531447	0.996353732
0.557	0.34166587	0.996745885
0.558	0.341783816	0.99708997
0.559	0.341881191	0.997374043
0.56	0.341908343	0.997453255
0.561	0.341854458	0.997296055
0.562	0.341758556	0.997016281
0.563	0.341656734	0.996719232
0.564	0.341546148	0.996396619
0.565	0.341411573	0.996004021
0.566	0.341231734	0.995479374
0.567	0.341080112	0.995037048
0.568	0.341034026	0.9949026
0.569	0.341148543	0.995236682
0.57	0.341192913	0.995366123
0.571	0.34121823	0.995439979
0.572	0.341285391	0.995635909
0.573	0.341384566	0.995925234
0.574	0.341410112	0.995999761
0.575	0.341416548	0.996018537
0.576	0.341490927	0.996235522
0.577	0.341450005	0.996116139
0.578	0.341462516	0.996152637
0.579	0.341435215	0.996072994
0.58	0.340923346	0.994579712
0.581	0.340191159	0.992443695
0.582	0.339368349	0.990043301
0.583	0.33855595	0.987673279
0.584	0.33782603	0.985543876
0.585	0.337348883	0.984151889
0.586	0.33700187	0.983139542
0.587	0.336496851	0.981666247
0.588	0.336348045	0.981232131
0.589	0.336284888	0.981047883
0.59	0.33606903	0.980418157
0.591	0.335742625	0.979465933
0.592	0.335742397	0.979465269
0.593	0.335829368	0.979718988
0.594	0.335605979	0.979067294
0.595	0.335606443	0.979068647
0.596	0.335766652	0.979536026
0.597	0.33587213	0.979843741
0.598	0.335585331	0.979007056
0.599	0.33543841	0.978578443
0.6	0.335340215	0.978291977
0.601	0.335092242	0.977568562
0.602	0.334678437	0.976361363
0.603	0.33459211	0.976109522
0.604	0.334718754	0.976478983
0.605	0.334533253	0.975937817
0.606	0.334287184	0.975219959
0.607	0.334228805	0.975049649
0.608	0.334351231	0.975406802
0.609	0.334082144	0.974621793
0.61	0.333896836	0.974081191
0.611	0.333912785	0.974127719
0.612	0.334037741	0.974492256
0.613	0.333799884	0.973798353
0.614	0.333578666	0.973152991
0.615	0.333564286	0.973111039
0.616	0.333637818	0.973325555
0.617	0.333455079	0.972792447
0.618	0.333237166	0.972156729
0.619	0.333234496	0.972148939
0.62	0.333290389	0.972311995
0.621	0.333135329	0.971859639
0.622	0.332882079	0.971120828
0.623	0.332881321	0.971118616
0.624	0.332935807	0.971277568
0.625	0.332816715	0.970930142
0.626	0.332520807	0.970066885
0.627	0.332497483	0.969998843
0.628	0.332548157	0.970146674
0.629	0.332498217	0.970000982
0.63	0.332245613	0.969264059
0.631	0.332077806	0.968774513
0.632	0.332078815	0.968777455
0.633	0.33213727	0.968947988
0.634	0.331952633	0.968409343
0.635	0.331783158	0.967914932
0.636	0.33171544	0.967717377
0.637	0.331725665	0.967747209
0.638	0.331574746	0.967306931
0.639	0.331455646	0.966959477
0.64	0.331422358	0.966862366
0.641	0.33142755	0.966877514
0.642	0.331346422	0.966640839
0.643	0.331195484	0.966200506
0.644	0.33105438	0.96578886
0.645	0.331085491	0.965879621
0.646	0.331047198	0.965767907
0.647	0.330887818	0.965302948
0.648	0.33067179	0.964672725
0.649	0.330665506	0.964654394
0.65	0.33068282	0.964704904
0.651	0.330604322	0.964475901
0.652	0.330408283	0.963903995
0.653	0.3302788	0.96352625
0.654	0.33024007	0.963413263
0.655	0.330245066	0.963427838
0.656	0.330160593	0.963181404
0.657	0.330065488	0.962903953
0.658	0.329998337	0.962708054
0.659	0.329969583	0.962624168
0.66	0.329931138	0.962512012
0.661	0.329861394	0.962308549
0.662	0.329763688	0.962023509
0.663	0.329667127	0.961741811
0.664	0.329741167	0.961957808
0.665	0.329796678	0.962119751
0.666	0.329657881	0.961714838
0.667	0.32960218	0.961552339
0.668	0.329592633	0.961524489
0.669	0.329616193	0.961593219
0.67	0.329669099	0.961747563
0.671	0.329601934	0.961551622
0.672	0.329523456	0.961322678
0.673	0.32951365	0.96129407
0.674	0.329512998	0.961292168
0.675	0.329509449	0.961281815
0.676	0.329471273	0.961170445
0.677	0.329384158	0.960916301
0.678	0.329348575	0.960812495
0.679	0.329321537	0.960733617
0.68	0.329281359	0.960616404
0.681	0.329238708	0.960491979
0.682	0.329208772	0.960404647
0.683	0.329195174	0.960364977
0.684	0.329191508	0.960354283
0.685	0.329181492	0.960325063
0.686	0.329094615	0.960071615
0.687	0.329015148	0.959839784
0.688	0.329071814	0.960005097
0.689	0.329079987	0.96002894
0.69	0.329017516	0.959846694
0.691	0.328918831	0.959558799
0.692	0.328869284	0.959414255
0.693	0.328869778	0.959415695
0.694	0.328874311	0.95942892
0.695	0.328836793	0.959319467
0.696	0.32876451	0.959108596
0.697	0.328688797	0.958887716
0.698	0.328638488	0.95874095
0.699	0.328632432	0.958723283
0.7	0.328629683	0.958715264
0.701	0.328581314	0.958574156
0.702	0.328487458	0.958300349
0.703	0.328428248	0.958127615
0.704	0.328431273	0.958136438
0.705	0.328442447	0.958169038
0.706	0.328396889	0.95803613
0.707	0.328316103	0.957800453
0.708	0.328277178	0.957686895
0.709	0.32828833	0.957719429
0.71	0.328292944	0.957732892
0.711	0.328196976	0.957452922
0.712	0.328113217	0.957208572
0.713	0.328109365	0.957197332
0.714	0.328086162	0.957129642
0.715	0.328051003	0.957027074
0.716	0.328016566	0.95692661
0.717	0.327990912	0.956851769
0.718	0.327922908	0.95665338
0.719	0.327886022	0.956545773
0.72	0.327895474	0.956573348
0.721	0.327901716	0.956591557
0.722	0.327853515	0.956450939
0.723	0.327769175	0.956204892
0.724	0.327680815	0.955947121
0.725	0.327612336	0.955747344
0.726	0.327573349	0.955633609
0.727	0.327558749	0.955591014
0.728	0.327549399	0.955563738
0.729	0.327498692	0.95541581
0.73	0.327442763	0.955252647
0.731	0.327387047	0.955090106
0.732	0.327301525	0.954840612
0.733	0.32725759	0.954712441
0.734	0.327256472	0.954709179
0.735	0.327263348	0.954729238
0.736	0.327186096	0.954503869
0.737	0.327156156	0.954416526
0.738	0.327158585	0.95442361
0.739	0.327128501	0.954335847
0.74	0.327132583	0.954347755
0.741	0.327093136	0.954232677
0.742	0.326999972	0.953960887
0.743	0.326923931	0.953739052
0.744	0.326854875	0.953537595
0.745	0.326787221	0.953340228
0.746	0.326712321	0.95312172
0.747	0.326619095	0.95284975
0.748	0.326477677	0.952437189
0.749	0.326311344	0.951951945
0.75	0.326166325	0.951528878
0.751	0.326071758	0.951252999
0.752	0.325937796	0.950862188
0.753	0.325760001	0.950343506
0.754	0.32562885	0.949960899
0.755	0.32559655	0.949866667
0.756	0.325584179	0.949830579
0.757	0.325513572	0.949624594
0.758	0.32536834	0.949200909
0.759	0.32521596	0.948756367
0.76	0.325036458	0.948232705
0.761	0.324811448	0.94757628
0.762	0.324694512	0.947235142
0.763	0.324699668	0.947250183
0.764	0.324754208	0.947409295
0.765	0.324723785	0.94732054
0.766	0.324628059	0.947041277
0.767	0.324539636	0.946783322
0.768	0.324488988	0.946635564
0.769	0.324407246	0.946397098
0.77	0.324292618	0.946062692
0.771	0.324140389	0.945618592
0.772	0.323958751	0.945088698
0.773	0.323792065	0.944602424
0.774	0.323653071	0.944196934
0.775	0.32353397	0.94384948
0.776	0.323408705	0.943484042
0.777	0.323234857	0.942976874
0.778	0.323022121	0.942356257
0.779	0.322806132	0.941726148
0.78	0.322646533	0.941260549
0.781	0.322499316	0.94083107
0.782	0.322341357	0.940370257
0.783	0.322160332	0.939842149
0.784	0.321958311	0.939252789
0.785	0.321769205	0.93870111
0.786	0.321581825	0.938154464
0.787	0.3213743	0.937549047
0.788	0.321222667	0.937106686
0.789	0.321114174	0.93679018
0.79	0.321034135	0.93655668
0.791	0.320975546	0.936385758
0.792	0.320947515	0.936303983
0.793	0.320966755	0.936360113
0.794	0.321019043	0.936512652
0.795	0.321015182	0.936501388
0.796	0.321059926	0.93663192
0.797	0.32111943	0.936805513
0.798	0.321140836	0.936867962
0.799	0.321223459	0.937108999
0.8	0.321280688	0.937275953
0.801	0.321302398	0.937339289
0.802	0.321349627	0.937477069
0.803	0.32153586	0.93802037
0.804	0.321799024	0.938788102
0.805	0.322072675	0.939586427
0.806	0.322323551	0.94031831
0.807	0.32256844	0.941032728
0.808	0.322835593	0.941812096
0.809	0.323121047	0.942644854
0.81	0.32332456	0.943238565
0.811	0.323497049	0.943741768
0.812	0.323685404	0.94429126
0.813	0.323907481	0.944939129
0.814	0.32403616	0.945314523
0.815	0.324186362	0.94575271
0.816	0.324410851	0.946407615
0.817	0.324690404	0.947223158
0.818	0.324949688	0.947979569
0.819	0.325200725	0.948711922
0.82	0.325444325	0.949422581
0.821	0.325645474	0.950009395
0.822	0.325801479	0.950464509
0.823	0.325906198	0.950770008
0.824	0.325990323	0.951015426
0.825	0.326188056	0.951592277
0.826	0.326357293	0.952085993
0.827	0.326437069	0.952318725
0.828	0.326435114	0.952313021
0.829	0.326496936	0.952493375
0.83	0.326568429	0.952701944
0.831	0.326605034	0.95280873
0.832	0.326585659	0.952752207
0.833	0.326553277	0.952657739
0.834	0.326535107	0.952604731
0.835	0.326537259	0.952611009
0.836	0.326540916	0.952621678
0.837	0.326509242	0.952529276
0.838	0.32645583	0.952373457
0.839	0.326415205	0.95225494
0.84	0.326448313	0.952351527
0.841	0.326387995	0.952175562
0.842	0.326292968	0.951898336
0.843	0.326258433	0.951797587
0.844	0.326197352	0.951619396
0.845	0.326133754	0.951433861
0.846	0.32606146	0.951222955
0.847	0.325965693	0.950943573
0.848	0.325874987	0.950678955
0.849	0.325891491	0.950727104
0.85	0.326034876	0.951145402
0.851	0.32623798	0.95173792
0.852	0.326438	0.952321441
0.853	0.326714575	0.953128297
0.854	0.327053438	0.954116866
0.855	0.327274791	0.954762621
0.856	0.327462133	0.955309156
0.857	0.3276008	0.95571369
0.858	0.327678448	0.955940214
0.859	0.327739048	0.956117003
0.86	0.327742958	0.95612841
0.861	0.327704736	0.956016904
0.862	0.327654126	0.955869258
0.863	0.327599294	0.955709298
0.864	0.327557094	0.955586187
0.865	0.32747703	0.955352614
0.866	0.327312481	0.954872575
0.867	0.327245883	0.954678286
0.868	0.327195015	0.954529889
0.869	0.327115756	0.954298667
0.87	0.327011712	0.953995136
0.871	0.326884826	0.953624972
0.872	0.326673472	0.953008385
0.873	0.326364982	0.952108424
0.874	0.326019455	0.951100415
0.875	0.325727464	0.950248585
0.876	0.325581862	0.949823818
0.877	0.325612693	0.949913762
0.878	0.325753587	0.950324796
0.879	0.325773705	0.950383485
0.88	0.325663203	0.950061116
0.881	0.325478318	0.949521748
0.882	0.325248233	0.948850519
0.883	0.325043838	0.948254235
0.884	0.324899883	0.947834274
0.885	0.324809178	0.947569659
0.886	0.32467259	0.94717119
0.887	0.324668939	0.947160538
0.888	0.324744465	0.947380872
0.889	0.324763157	0.947435402
0.89	0.324818363	0.947596455
0.891	0.324933196	0.947931459
0.892	0.325026755	0.9482044
0.893	0.324980602	0.948069757
0.894	0.324892398	0.947812438
0.895	0.324877073	0.947767728
0.896	0.324995353	0.94811279
0.897	0.325253398	0.948865588
