NaClO4.2H2O 80K NIR reflectance spectra from 0.35-2.5�m		
This is the data used to create Figure 1		
		
Wavelength (um	% Reflectance	normalized
0.52	0.208921291	0.999201182
0.521	0.208902149	0.999109629
0.522	0.208907117	0.999133392
0.523	0.208934874	0.999266143
0.524	0.208981998	0.999491522
0.525	0.209022518	0.999685315
0.526	0.209004832	0.999600729
0.527	0.209034444	0.999742354
0.528	0.209056532	0.999847993
0.529	0.209023991	0.999692362
0.53	0.2090665	0.999895668
0.531	0.209088315	1
0.532	0.209063452	0.999881089
0.533	0.209022505	0.999685255
0.534	0.209033325	0.999737001
0.535	0.208987779	0.999519171
0.536	0.208850713	0.998863629
0.537	0.20879349	0.998589951
0.538	0.208710406	0.99819259
0.539	0.208604944	0.997688197
0.54	0.208510594	0.997236955
0.541	0.208393719	0.99667798
0.542	0.208248921	0.995985458
0.543	0.208107219	0.995307746
0.544	0.208038446	0.994978828
0.545	0.207952572	0.99456812
0.546	0.207870855	0.994177293
0.547	0.207828795	0.993976134
0.548	0.207815073	0.993910505
0.549	0.207810532	0.993888788
0.55	0.207810749	0.993889826
0.551	0.207822563	0.99394633
0.552	0.207849254	0.994073984
0.553	0.207901666	0.994324651
0.554	0.20797694	0.994684665
0.555	0.208045293	0.995011574
0.556	0.20808634	0.995207889
0.557	0.208120083	0.995369267
0.558	0.208176007	0.995636736
0.559	0.208225126	0.995871653
0.56	0.208245568	0.995969423
0.561	0.208221979	0.995856604
0.562	0.20814644	0.995495327
0.563	0.208039087	0.994981892
0.564	0.207942432	0.994519624
0.565	0.207880076	0.994221396
0.566	0.207790434	0.993792669
0.567	0.207728728	0.993497548
0.568	0.207744507	0.993573014
0.569	0.207865073	0.994149641
0.57	0.207907191	0.994351077
0.571	0.207964974	0.994627434
0.572	0.208095966	0.995253925
0.573	0.208191091	0.995708876
0.574	0.208197662	0.995740302
0.575	0.208140017	0.995464606
0.576	0.208069153	0.99512569
0.577	0.207921267	0.994418399
0.578	0.207861035	0.994130328
0.579	0.207851056	0.994082601
0.58	0.20758691	0.992819277
0.581	0.207254689	0.991230375
0.582	0.206908932	0.989576737
0.583	0.206559662	0.987906291
0.584	0.206151977	0.985956469
0.585	0.205884952	0.984679379
0.586	0.20568271	0.983712125
0.587	0.205303134	0.981896738
0.588	0.205123767	0.981038882
0.589	0.204998342	0.98043902
0.59	0.204793613	0.979459867
0.591	0.204548061	0.978285473
0.592	0.204535473	0.978225269
0.593	0.204601574	0.978541408
0.594	0.20448489	0.977983345
0.595	0.204482172	0.977970349
0.596	0.204573414	0.97840673
0.597	0.204639819	0.978724323
0.598	0.204473404	0.977928415
0.599	0.204398534	0.977570337
0.6	0.204350158	0.977338969
0.601	0.204194155	0.97659286
0.602	0.203899317	0.975182745
0.603	0.203822954	0.974817529
0.604	0.203889661	0.975136567
0.605	0.203730952	0.974377513
0.606	0.203521079	0.973373761
0.607	0.203438189	0.972977324
0.608	0.203485025	0.973201326
0.609	0.203272431	0.972184558
0.61	0.203147891	0.971588923
0.611	0.203150579	0.97160178
0.612	0.203172468	0.971706468
0.613	0.202991052	0.970838818
0.614	0.202859982	0.97021195
0.615	0.202882624	0.97032024
0.616	0.202937082	0.970580696
0.617	0.202844117	0.970136073
0.618	0.202738677	0.969631789
0.619	0.202769676	0.969780048
0.62	0.202852892	0.970178041
0.621	0.202787685	0.969866181
0.622	0.202635379	0.96913775
0.623	0.202626482	0.969095197
0.624	0.202675711	0.969330645
0.625	0.202629422	0.96910926
0.626	0.202462857	0.968312637
0.627	0.202421227	0.968113533
0.628	0.20245587	0.968279218
0.629	0.202444501	0.968224844
0.63	0.202285556	0.967464664
0.631	0.202191191	0.967013345
0.632	0.202206585	0.96708697
0.633	0.202252482	0.967306482
0.634	0.202132456	0.966732438
0.635	0.20204809	0.96632894
0.636	0.202031267	0.966248485
0.637	0.202042468	0.966302055
0.638	0.201945443	0.965838016
0.639	0.201882693	0.965537904
0.64	0.201880626	0.965528018
0.641	0.201887713	0.965561912
