NaCl 80K NIR reflectance spectra from 0.35-2.5�m		
This is the data used to create Figure 1		
		
Wavelength (um	% Reflectance	normalized
0.521	0.301768032	0.999315902
0.522	0.301653527	0.998936714
0.523	0.301514486	0.998476275
0.524	0.301368941	0.997994297
0.525	0.301220282	0.997502008
0.526	0.301056359	0.996959169
0.527	0.300937195	0.996564553
0.528	0.300824026	0.99618979
0.529	0.300664716	0.995662229
0.53	0.300447249	0.994942081
0.531	0.300242205	0.994263068
0.532	0.300073354	0.993703914
0.533	0.299927305	0.993220266
0.534	0.299779044	0.992729296
0.535	0.299709351	0.992498504
0.536	0.299739143	0.99259716
0.537	0.299745835	0.992619322
0.538	0.299693213	0.99244506
0.539	0.299676816	0.992390764
0.54	0.299821556	0.992870073
0.541	0.30006789	0.993685818
0.542	0.300333683	0.994566004
0.543	0.300564225	0.995329449
0.544	0.300739571	0.995910114
0.545	0.300935918	0.996560325
0.546	0.301149664	0.997268153
0.547	0.30135271	0.997940546
0.548	0.30151112	0.998465126
0.549	0.301649768	0.998924267
0.55	0.301775972	0.999342194
0.551	0.301880492	0.999688317
0.552	0.301917201	0.999809881
0.553	0.301901037	0.99975635
0.554	0.301860132	0.999620894
0.555	0.301837469	0.999545845
0.556	0.301727211	0.999180723
0.557	0.301598558	0.998754683
0.558	0.301570835	0.998662876
0.559	0.301590533	0.998728108
0.56	0.301643505	0.998903526
0.561	0.301727624	0.999182088
0.562	0.301853653	0.999599439
0.563	0.301877748	0.999679229
0.564	0.301836888	0.999543919
0.565	0.301785555	0.999373929
0.566	0.301646841	0.998914571
0.567	0.301522752	0.998503648
0.568	0.301466434	0.998317148
0.569	0.301479968	0.998361966
0.57	0.3014241	0.998176959
0.571	0.301349396	0.997929571
0.572	0.301286988	0.997722907
0.573	0.301155672	0.997288049
0.574	0.301010604	0.99680765
0.575	0.300807843	0.996136201
0.576	0.300489079	0.995080601
0.577	0.30012516	0.993875471
0.578	0.29997059	0.993363606
0.579	0.300038266	0.993587718
0.58	0.300029421	0.993558427
0.581	0.300115268	0.993842713
0.582	0.300144402	0.99393919
0.583	0.29995247	0.993303601
0.584	0.299583733	0.992082515
0.585	0.29931808	0.991202795
0.586	0.299083394	0.990425623
0.587	0.29859423	0.988805741
0.588	0.298344413	0.987978461
0.589	0.29825609	0.987685975
0.59	0.298197601	0.987492288
0.591	0.298094727	0.987151616
0.592	0.298281544	0.98777027
0.593	0.298510557	0.988528655
0.594	0.298375043	0.988079893
0.595	0.298116367	0.987223278
0.596	0.297861434	0.986379059
0.597	0.297592695	0.985489119
0.598	0.297122635	0.983932498
0.599	0.296946383	0.983348832
0.6	0.296892827	0.98317148
0.601	0.296710831	0.982568794
0.602	0.296513474	0.98191524
0.603	0.296489192	0.98183483
0.604	0.2965249	0.981953078
0.605	0.296321696	0.98128016
0.606	0.296160474	0.980746267
0.607	0.296128893	0.980641685
0.608	0.296162641	0.980753444
0.609	0.295921396	0.979954552
0.61	0.295742925	0.97936354
0.611	0.295704442	0.979236101
0.612	0.295734165	0.979334528
0.613	0.295521384	0.978629899
0.614	0.295335592	0.97801464
0.615	0.29530898	0.977926513
0.616	0.295353452	0.978073784
0.617	0.29514424	0.97738097
0.618	0.294898807	0.97656821
0.619	0.294865403	0.976457593
0.62	0.294918329	0.976632857
0.621	0.294754907	0.97609168
0.622	0.294477432	0.975172811
0.623	0.294444789	0.975064712
0.624	0.294479628	0.975180083
0.625	0.294376041	0.974837051
0.626	0.294113652	0.97396814
0.627	0.294044362	0.973738686
0.628	0.294036275	0.973711905
0.629	0.293959619	0.973458055
0.63	0.293741143	0.972734563
0.631	0.293664122	0.972479505
0.632	0.293648354	0.972427289
0.633	0.293596361	0.972255112
0.634	0.293424549	0.971686152
0.635	0.293272034	0.971181092
0.636	0.293235575	0.971060357
0.637	0.293297311	0.971264798
0.638	0.293128868	0.970706994
0.639	0.292955385	0.970132499
0.64	0.292877338	0.969874042
0.641	0.292893516	0.969927616
0.642	0.292822198	0.969691443
0.643	0.292699857	0.969286306
0.644	0.292576644	0.968878284
0.645	0.292467905	0.968518191
0.646	0.292435862	0.968412078
0.647	0.292388443	0.968255048
0.648	0.292233769	0.967742839
0.649	0.292147685	0.96745777
0.65	0.292112753	0.967342092
0.651	0.292080975	0.967236855
0.652	0.291987796	0.966928291
0.653	0.291866654	0.966527125
0.654	0.291767261	0.966197981
0.655	0.291714923	0.966024663
0.656	0.291673212	0.965886535
0.657	0.291563855	0.965524396
0.658	0.291445347	0.965131952
0.659	0.291427149	0.965071687
0.66	0.291435585	0.965099624
0.661	0.291336154	0.964770354
0.662	0.291148779	0.964149857
0.663	0.291114569	0.964036567
0.664	0.291091453	0.963960018
0.665	0.291040989	0.963792906
0.666	0.290958672	0.963520308
0.667	0.290855271	0.963177892
0.668	0.290806193	0.963015371
0.669	0.290789263	0.962959306
0.67	0.290713166	0.962707307
0.671	0.290608889	0.96236199
0.672	0.290516455	0.962055892
0.673	0.29046011	0.961869302
0.674	0.290436574	0.961791363
0.675	0.290359056	0.961534659
0.676	0.290258962	0.961203194
0.677	0.290199492	0.961006257
0.678	0.290138178	0.960803213
0.679	0.290077207	0.960601306
0.68	0.29003309	0.960455211
0.681	0.290031115	0.96044867
0.682	0.289975674	0.960265076
0.683	0.289888819	0.959977453
0.684	0.289811003	0.959719762
0.685	0.289760059	0.959551059
0.686	0.289692761	0.959328198
0.687	0.289617846	0.959080115
0.688	0.289562833	0.958897938
0.689	0.289478438	0.95861846
0.69	0.289381232	0.95829656
0.691	0.289294202	0.958008357
0.692	0.289239266	0.957826433
0.693	0.289199249	0.957693914
0.694	0.289143764	0.957510174
0.695	0.289053048	0.957209765
0.696	0.288943335	0.956846446
0.697	0.288922169	0.956776356
0.698	0.288948768	0.95686444
0.699	0.288887852	0.956662714
0.7	0.288751324	0.956210597
0.701	0.288656433	0.955896359
0.702	0.288645996	0.955861797
0.703	0.288614104	0.955756186
0.704	0.288504381	0.955392835
0.705	0.288398151	0.955041051
0.706	0.288383366	0.954992089
0.707	0.288355449	0.954899642
0.708	0.288274261	0.954630783
0.709	0.288160083	0.95425268
0.71	0.288081197	0.953991444
0.711	0.288058107	0.953914982
0.712	0.288041139	0.953858791
0.713	0.28798178	0.953662221
0.714	0.287854977	0.953242308
0.715	0.287731739	0.952834203
0.716	0.28764351	0.952542029
0.717	0.287600517	0.952399657
0.718	0.287609184	0.952428356
0.719	0.287524543	0.952148065
0.72	0.287356806	0.951592597
0.721	0.287267067	0.951295425
0.722	0.287208358	0.951101007
0.723	0.287149314	0.95090548
0.724	0.287080936	0.950679046
0.725	0.287056786	0.95059907
0.726	0.286944649	0.950227726
0.727	0.286797626	0.949740853
0.728	0.286726527	0.949505407
0.729	0.286677001	0.949341397
0.73	0.286610514	0.949121224
0.731	0.286508762	0.948784268
0.732	0.286377674	0.948350168
0.733	0.286295338	0.948077507
0.734	0.286240678	0.947896499
0.735	0.286178172	0.947689507
0.736	0.286094269	0.947411659
0.737	0.285997342	0.947090683
0.738	0.285907563	0.946793377
0.739	0.28583523	0.946553844
0.74	0.285693372	0.946084077
0.741	0.28557572	0.945694467
0.742	0.285518483	0.945504924
0.743	0.285479658	0.945376352
0.744	0.285380096	0.945046652
0.745	0.285264239	0.944662987
0.746	0.285186094	0.944404206
0.747	0.285157018	0.944307918
0.748	0.2851211	0.944188975
0.749	0.285031002	0.943890611
0.75	0.284868547	0.943352636
0.751	0.284735444	0.94291186
0.752	0.284645891	0.942615304
0.753	0.284588137	0.942424048
0.754	0.284530139	0.942231986
0.755	0.284445449	0.941951533
0.756	0.284316223	0.941523595
0.757	0.284167372	0.94103067
0.758	0.284115018	0.940857297
0.759	0.284087937	0.940767618
0.76	0.284036511	0.94059732
0.761	0.283929321	0.940242354
0.762	0.283793317	0.939791974
0.763	0.28364308	0.939294458
0.764	0.283513155	0.938864207
0.765	0.283447003	0.938645143
